luminosity 35920

## Data
SingleMuon Run2016[B-H] Nano25Oct2019-v1 (C-H) / Nano25Oct2019_ver1-v1 (B_ver1) / Nano25Oct2019_ver1-v1 (B_ver2)

## MC RunIISummer16NanoAODv6 ( Sample/  Xsec )

# QCD
QCD_HT100to200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/     27990000.0
QCD_HT200to300_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/     1559000.0
QCD_HT300to500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/     351900.0
QCD_HT500to700_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/     29070.0
QCD_HT700to1000_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/    5962.0
QCD_HT1000to1500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/   1005.0
QCD_HT1500to2000_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/   101.8 
QCD_HT2000toInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/    20.54

# Diboson
WW_TuneCUETP8M1_13TeV-pythia8/   118.7 
WZ_TuneCUETP8M1_13TeV-pythia8/   47.13 
ZZ_TuneCUETP8M1_13TeV-pythia8/   16.523 

# DYJets M-5to50
DYJetsToLL_M-5to50_HT-100to200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/   224.2
DYJetsToLL_M-5to50_HT-200to400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/   37.2 
DYJetsToLL_M-5to50_HT-400to600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/   3.581
DYJetsToLL_M-5to50_HT-600toInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/   1.124

# DYJets M-50
DYJetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/                 6025.2       
DYJetsToLL_M-50_HT-100to200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/     213.4
DYJetsToLL_M-50_HT-200to400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/     65.42
DYJetsToLL_M-50_HT-400to600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/     7.31
DYJetsToLL_M-50_HT-600to800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/     1.49  
DYJetsToLL_M-50_HT-800to1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/    0.661 
DYJetsToLL_M-50_HT-1200to2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/   0.119 
DYJetsToLL_M-50_HT-2500toInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/    0.0028 

# EWK ZtoLL
EWKZ2Jets_ZToLL_M-50_13TeV-madgraph-pythia8/   3.997      

# SingleTop
ST_t-channel_antitop_4f_inclusiveDecays_13TeV_PSweights-powhegV2-madspin/     80.95  
ST_t-channel_top_4f_inclusiveDecays_13TeV_PSweights-powhegV2-madspin/         136.02 
ST_tW_antitop_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1/           38.06
ST_tW_top_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1/               38.06

# Inclusive TTbar
TT_TuneCUETP8M2T4_13TeV-powheg-pythia8/   831.59

# WJets
WJetsToLNu_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/                61334.9
WJetsToLNu_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/    1695.0
WJetsToLNu_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/    532.4
WJetsToLNu_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/    61.6
WJetsToLNu_HT-600To800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/    12.4
WJetsToLNu_HT-800To1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/   5.77
WJetsToLNu_HT-1200To2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/  1.023
WJetsToLNu_HT-2500ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/   0.0248 

# EWK WJets
EWKWMinus2Jets_WToLNu_M-50_13TeV-madgraph-pythia8/   20.35
EWKWPlus2Jets_WToLNu_M-50_13TeV-madgraph-pythia8/    25.81
