luminosity 41530

## Data
SingleMuon Run2017[B-F] Nano25Oct2019-v1

## MC RunIIFall17NanoAODv6 ( Sample/  Xsec )

# QCD
QCD_HT100to200_TuneCP5_13TeV-madgraph-pythia8/    27990000.0 
QCD_HT200to300_TuneCP5_13TeV-madgraph-pythia8/    1559000.0
QCD_HT300to500_TuneCP5_13TeV-madgraph-pythia8/    351900.0
QCD_HT500to700_TuneCP5_13TeV-madgraph-pythia8/    29070.0 
QCD_HT700to1000_TuneCP5_13TeV-madgraph-pythia8/   5962.0 
QCD_HT1000to1500_TuneCP5_13TeV-madgraph-pythia8/  1005.0 
QCD_HT1500to2000_TuneCP5_13TeV-madgraph-pythia8/  101.8 
QCD_HT2000toInf_TuneCP5_13TeV-madgraph-pythia8/   20.54  

# Diboson
WWTo2L2Nu_NNPDF31_TuneCP5_PSweights_13TeV-powheg-pythia8/   10.48
WWTo4Q_NNPDF31_TuneCP5_PSweights_13TeV-powheg-pythia8/      51.723 
WWToLNuQQ_NNPDF31_TuneCP5_PSweights_13TeV-powheg-pythia8/   43.53
WZTo1L1Nu2Q_13TeV_amcatnloFXFX_madspin_pythia8/             10.73
WZTo1L3Nu_13TeV_amcatnloFXFX_madspin_pythia8_v2/            3.054
WZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8/                5.606
WZTo3LNu_13TeV-powheg-pythia8/                              4.43
ZZTo2L2Nu_13TeV_powheg_pythia8/                             0.5644 
ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8/                3.222
ZZTo2Q2Nu_TuneCP5_13TeV_amcatnloFXFX_madspin_pythia8/       4.033
ZZTo4L_13TeV_powheg_pythia8/                                1.256

# DY+Jets M-4to50
DYJetsToLL_M-4to50_HT-100to200_TuneCP5_13TeV-madgraphMLM-pythia8/   224.2
DYJetsToLL_M-4to50_HT-200to400_TuneCP5_13TeV-madgraphMLM-pythia8/   37.2
DYJetsToLL_M-4to50_HT-400to600_TuneCP5_13TeV-madgraphMLM-pythia8/   3.581
DYJetsToLL_M-4to50_HT-600toInf_TuneCP5_13TeV-madgraphMLM-pythia8/   1.124

# DY+Jets M-50
DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8/                  6025.2        
DYJetsToLL_M-50_HT-100to200_TuneCP5_13TeV-madgraphMLM-pythia8/      213.4
DYJetsToLL_M-50_HT-200to400_TuneCP5_13TeV-madgraphMLM-pythia8/      65.42
DYJetsToLL_M-50_HT-400to600_TuneCP5_13TeV-madgraphMLM-pythia8/      7.31
DYJetsToLL_M-50_HT-600to800_TuneCP5_13TeV-madgraphMLM-pythia8/      1.49  
DYJetsToLL_M-50_HT-800to1200_TuneCP5_13TeV-madgraphMLM-pythia8/     0.661 
DYJetsToLL_M-50_HT-1200to2500_TuneCP5_13TeV-madgraphMLM-pythia8/    0.119
DYJetsToLL_M-50_HT-2500toInf_TuneCP5_13TeV-madgraphMLM-pythia8/     0.0028 

# EWK ZtoLL
EWKZ2Jets_ZToLL_M-50_TuneCP5_13TeV-madgraph-pythia8/   4.321       

# SingleTop
ST_tW_top_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8/                        38.06 
ST_tW_antitop_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8/                    38.06 
ST_t-channel_top_4f_InclusiveDecays_TuneCP5_PSweights_13TeV-powheg-pythia8/       136.02 
ST_t-channel_antitop_4f_InclusiveDecays_TuneCP5_PSweights_13TeV-powheg-pythia8/   80.95 

# TTbar
TTTo2L2Nu_TuneCP5_PSweights_13TeV-powheg-pythia8/         88.29
TTToHadronic_TuneCP5_PSweights_13TeV-powheg-pythia8/      377.96
TTToSemiLeptonic_TuneCP5_PSweights_13TeV-powheg-pythia8/  365.34 

# WJets
WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8/                61334.9
WJetsToLNu_HT-100To200_TuneCP5_13TeV-madgraphMLM-pythia8/    1695.0
WJetsToLNu_HT-200To400_TuneCP5_13TeV-madgraphMLM-pythia8/    532.4
WJetsToLNu_HT-400To600_TuneCP5_13TeV-madgraphMLM-pythia8/    61.6
WJetsToLNu_HT-600To800_TuneCP5_13TeV-madgraphMLM-pythia8/    12.4
WJetsToLNu_HT-800To1200_TuneCP5_13TeV-madgraphMLM-pythia8/   5.77
WJetsToLNu_HT-1200To2500_TuneCP5_13TeV-madgraphMLM-pythia8/  1.023 
WJetsToLNu_HT-2500ToInf_TuneCP5_13TeV-madgraphMLM-pythia8/   0.0248

# EWK WJets
EWKWMinus2Jets_WToLNu_M-50_TuneCP5_13TeV-madgraph-pythia8/   23.24 
EWKWPlus2Jets_WToLNu_M-50_TuneCP5_13TeV-madgraph-pythia8/    29.59 
